_id,MODEL_CD
67dbab540dc9badbe92b99fd,BREZZA
67dbab540dc9badbe92b99fe,BREZZA
67dbab540dc9badbe92b9a00,BREZZA
67dbab540dc9badbe92b9a04,BREZZA
67dbab540dc9badbe92b9a06,BREZZA
67dbab540dc9badbe92b9a02,BREZZA
67dbab540dc9badbe92b9a03,BREZZA
67dbab550dc9badbe92b9a09,BREZZA
67dbab550dc9badbe92b9a0a,BREZZA
67dbab550dc9badbe92b9a12,BREZZA
67dbab560dc9badbe92b9a2e,BREZZA
67dbab550dc9badbe92b9a0b,BREZZA
67dbab550dc9badbe92b9a11,BREZZA
67f75b4e297b3a5cefba9247,S-PRESSO
67dbab550dc9badbe92b9a0d,BREZZA
67dbab570dc9badbe92b9a3a,BREZZA
67dbab570dc9badbe92b9a3f,BREZZA
67dbab550dc9badbe92b9a0e,BREZZA
67dbab550dc9badbe92b9a14,BREZZA
67dbab560dc9badbe92b9a26,BREZZA
67dbab550dc9badbe92b9a10,BREZZA
67dbab550dc9badbe92b9a16,BREZZA
67dbab560dc9badbe92b9a1b,BREZZA
67dbab550dc9badbe92b9a19,BREZZA
67dbab560dc9badbe92b9a23,BREZZA
67dbab580dc9badbe92b9a4e,BREZZA
67dbab550dc9badbe92b9a1a,BREZZA
67dbab560dc9badbe92b9a27,BREZZA
67dbab570dc9badbe92b9a35,BREZZA
67dbab560dc9badbe92b9a1c,BREZZA
67dbab560dc9badbe92b9a20,BREZZA
67dbab560dc9badbe92b9a24,BREZZA
67dbab560dc9badbe92b9a1e,BREZZA
67dbab560dc9badbe92b9a21,BREZZA
67dbab560dc9badbe92b9a22,BREZZA
67dbab560dc9badbe92b9a29,BREZZA
67dbab570dc9badbe92b9a38,BREZZA
67dbab570dc9badbe92b9a3b,BREZZA
67dbab560dc9badbe92b9a2a,BREZZA
67dbab560dc9badbe92b9a30,BREZZA
67dbab570dc9badbe92b9a32,BREZZA
67dbab560dc9badbe92b9a2b,BREZZA
67dbab560dc9badbe92b9a2c,BREZZA
67f75b4e297b3a5cefba9248,S-PRESSO
67dbab560dc9badbe92b9a2f,BREZZA
67dbab570dc9badbe92b9a39,BREZZA
67dbab570dc9badbe92b9a3e,BREZZA
67dbab570dc9badbe92b9a33,BREZZA
67f75b4e297b3a5cefba9249,S-PRESSO
67f75b4e297b3a5cefba924a,S-PRESSO
67dbab570dc9badbe92b9a34,BREZZA
67dbab570dc9badbe92b9a3c,BREZZA
67dbab570dc9badbe92b9a45,BREZZA
67dbab570dc9badbe92b9a37,BREZZA
67f75b4e297b3a5cefba924c,S-PRESSO
67f75b4e297b3a5cefba9250,S-PRESSO
67dbab570dc9badbe92b9a3d,BREZZA
67f75b4e297b3a5cefba924d,S-PRESSO
67f75b4e297b3a5cefba924e,S-PRESSO
67dbab570dc9badbe92b9a40,BREZZA
67dbab570dc9badbe92b9a44,BREZZA
67dbab580dc9badbe92b9a47,BREZZA
67dbab570dc9badbe92b9a41,BREZZA
67f75b4e297b3a5cefba924f,S-PRESSO
67f75b4f297b3a5cefba9252,S-PRESSO
67dbab570dc9badbe92b9a42,BREZZA
67dbab570dc9badbe92b9a46,BREZZA
67f75b4e297b3a5cefba9251,S-PRESSO
67dbab570dc9badbe92b9a43,BREZZA
67dbab580dc9badbe92b9a50,BREZZA
67dbab580dc9badbe92b9a55,BREZZA
67dbab580dc9badbe92b9a48,BREZZA
67dbab580dc9badbe92b9a4b,BREZZA
